host_name,alias,ip_address,hostgroup
ZENITH_BANK_KEFFI,ZENITH_BANK_KEFFI,10.20.2.241,ZenithBank
ZENITH_BANK_FALOMO_1,ZENITH_BANK_FALOMO_1,10.20.3.9,ZenithBank
ZENITH_BANK_KOFO_ABAYOMI,ZENITH_BANK_KOFO_ABAYOMI,10.20.3.17,ZenithBank
ZENITH_BANK_JIBOWU_,ZENITH_BANK_JIBOWU_,10.21.0.58,ZenithBank
ZENITH_BANK_JIBOWU,ZENITH_BANK_JIBOWU,10.21.0.59,ZenithBank
ZENITH_BANK_WAREHOUSE_ROAD_APAPA,ZENITH_BANK_WAREHOUSE_ROAD_APAPA,10.21.2.5,ZenithBank
ZENITH_BANK_APAPA_WHARF_ROAD,ZENITH_BANK_APAPA_WHARF_ROAD,10.21.2.89,ZenithBank
ZENITH_BANK__WHARF_ROAD,ZENITH_BANK__WHARF_ROAD,10.21.2.89,ZenithBank
ZENITH_BANK_MARINA_1,ZENITH_BANK_MARINA_1,10.21.2.97,ZenithBank
ZENITH_BANK_LIVERPOOL,ZENITH_BANK_LIVERPOOL,10.21.2.130,ZenithBank
ZENITH_BANK_OKE_ARIN_1,ZENITH_BANK_OKE_ARIN_1,10.21.2.137,ZenithBank
ZENITH_BANK_MOBIL_ROAD,ZENITH_BANK_MOBIL_ROAD,10.21.2.162,ZenithBank
ZENITH_RORO_PORT,ZENITH_RORO_PORT,10.21.2.233,ZenithBank
ZENITH_BANK_TGI_ATM_ILUPEJU,ZENITH_BANK_TGI_ATM_ILUPEJU,10.5.200.50,ZenithBank
ZENITH_BANK_WORLWIDE_ILUPEJU,ZENITH_BANK_WORLWIDE_ILUPEJU,10.6.2.93,ZenithBank
ZENITH_BANK_GUDU_,ZENITH_BANK_GUDU_,10.6.144.11,ZenithBank
ZENITH_BANK_GUDU,ZENITH_BANK_GUDU,10.6.144.12,ZenithBank
ZENITH_BANK_AWOLOWO_WAY,ZENITH_BANK_AWOLOWO_WAY,10.10.0.25,ZenithBank
ZENITH_BANK_MMWAY_LOCAL_AIRPORT,ZENITH_BANK_MMWAY_LOCAL_AIRPORT,10.10.0.65,ZenithBank
ZENITH_BANK_MMWAY_2,ZENITH_BANK_MMWAY_2,10.10.0.73,ZenithBank
ZENITH_BANK_AWOLOWO_WAY,ZENITH_BANK_AWOLOWO_WAY,10.10.20.25,ZenithBank
ZENITH_BANK_CBD2,ZENITH_BANK_CBD2,10.10.128.57,ZenithBank
ZENITH_BANK_OKOTA,ZENITH_BANK_OKOTA,10.11.0.36,ZenithBank
ZENITH_BANK_FALOMO_2,ZENITH_BANK_FALOMO_2,10.12.0.1,ZenithBank
ZENITH_BANK_KINGSWAY,ZENITH_BANK_KINGSWAY,10.12.0.81,ZenithBank
ZENITH_BANK_BOURDILLION,ZENITH_BANK_BOURDILLION,10.12.0.89,ZenithBank
ZENITH_BANK_LEKKI,ZENITH_BANK_LEKKI,10.12.0.122,ZenithBank
ZENITH_BANK_WARRI_2,ZENITH_BANK_WARRI_2,10.13.1.57,ZenithBank
ZENITH_BANK_OKE_ARIN_2,ZENITH_BANK_OKE_ARIN_2,10.14.0.57,ZenithBank
ZENITH_BANK_NIPCO,ZENITH_BANK_NIPCO,10.14.0.65,ZenithBank
ZENITH_BANK_ISAAC_JOHN_2,ZENITH_BANK_ISAAC_JOHN_2,10.14.128.65,ZenithBank
ZENITH_BANK_ADEKUNLE,ZENITH_BANK_ADEKUNLE,10.15.0.49,ZenithBank
ZENITH_BANK_SURULERE,ZENITH_BANK_SURULERE,10.15.0.57,ZenithBank
ZENITH_BANK_PALM_AVENUE,ZENITH_BANK_PALM_AVENUE,10.15.0.65,ZenithBank
ZENITH_BANK_CHI2,ZENITH_BANK_CHI2,10.15.0.121,ZenithBank
ZENITH_BANK_SEPLAT_ATM,ZENITH_BANK_SEPLAT_ATM,10.15.0.153,ZenithBank
ZENITH_BANK_ADMOLA_ADETOKUNBO_VI,ZENITH_BANK_ADMOLA_ADETOKUNBO_VI,10.16.2.1,ZenithBank
ZENITH_BANK_ADEOLA_ODEKU_1,ZENITH_BANK_ADEOLA_ODEKU_1,10.16.2.9,ZenithBank
ZENITH_BANK_OLOSA_,ZENITH_BANK_OLOSA_,10.16.2.41,ZenithBank
